id,x,y,z,date_mpu,time_mpu,time_float
209,-1192,1040,15696,2022-03-25,20:49:13,20.8203
210,-1180,996,15672,2022-03-25,20:49:28,20.8244
211,-1248,984,15564,2022-03-25,20:49:44,20.8289
212,-1092,956,15692,2022-03-25,20:50:00,20.8333
213,-1220,936,15712,2022-03-25,20:50:15,20.8375
214,-1164,984,15664,2022-03-25,20:50:31,20.8419
215,-1136,1032,15832,2022-03-25,20:50:47,20.8464
216,-1208,1016,15744,2022-03-25,20:51:02,20.8506
217,-1208,976,15688,2022-03-25,20:51:18,20.855
218,-1204,992,15724,2022-03-25,20:51:34,20.8594
219,-1248,1028,15688,2022-03-25,20:51:49,20.8636
220,-1108,972,15752,2022-03-25,20:52:05,20.8681
221,-1196,1004,15632,2022-03-25,20:52:21,20.8725
222,-1224,964,15728,2022-03-25,20:52:36,20.8767
223,-1168,916,15744,2022-03-25,20:52:52,20.8811
224,-1188,1044,15736,2022-03-25,20:53:08,20.8856
225,-1188,976,15724,2022-03-25,20:53:23,20.8897
226,-1156,956,15624,2022-03-25,20:53:39,20.8942
227,-1152,976,15776,2022-03-25,20:53:55,20.8986
228,-1212,1040,15772,2022-03-25,20:54:10,20.9028
229,-1208,976,15756,2022-03-25,20:54:26,20.9072
230,-1164,1012,15744,2022-03-25,20:54:42,20.9117
231,-1200,988,15784,2022-03-25,20:54:57,20.9158
232,-1232,996,15700,2022-03-25,20:55:13,20.9203
233,-1148,992,15688,2022-03-25,20:55:29,20.9247
234,-1168,932,15776,2022-03-25,20:55:44,20.9289
235,-1180,1024,15760,2022-03-25,20:56:00,20.9333
236,-1140,984,15588,2022-03-25,20:56:16,20.9378
237,-1224,960,15736,2022-03-25,20:56:31,20.9419
238,-1256,988,15744,2022-03-25,20:56:47,20.9464
239,-1188,1044,15760,2022-03-25,20:57:03,20.9508
240,-1160,976,15664,2022-03-25,20:57:18,20.955
241,-1216,932,15768,2022-03-25,20:57:34,20.9594
242,-1244,1004,15792,2022-03-25,20:57:50,20.9639
243,-1152,936,15736,2022-03-25,20:58:05,20.9681
244,-1208,928,15752,2022-03-25,20:58:21,20.9725
245,-1220,920,15836,2022-03-25,20:58:37,20.9769
246,-1164,1004,15684,2022-03-25,20:58:52,20.9811
